,Movie_Name,year,runtime,genre,Rating,director,stars,Votes
876,Kranti,2023,163,Action,7.3,V. Harikrishna,"['Darshan Thoogudeep', 'Rachita Ram', 'V. Ravichandran', 'Sumalatha']",10157
877,Bajre Da Sitta,2022,113,Drama,6.9,Jass Grewal,"['Ammy Virk', 'Tania', 'Guggu Gill', 'Noor Chahal']",635
878,Alchemist,2022,120,Drama,7.1,Rupesh Paul,"['Chhaya Kadam', 'Sanjay Mishra', 'MayurKumar Nyk', 'Heeba Nasirudeen Shah']",3368
879,Nathicharami,2022,95,Thriller,7.4,Nagu Gavara,"['Nagu Gavara', 'Poonam Kaur', 'Arvind Krishna']",19
880,Pratham Barer Pratham Dekha,2022,138,Drama,7.1,Akash Malakar,"['Arya Dasgupta', 'Prasun Gain', 'Kharaj Mukherjee', 'Santilal Mukherjee']",3368
881,Ini Utharam,2022,126,Thriller,6.3,Sudeesh Ramachandran,"['Aparna Balamurali', 'Kalabhavan Shajohn', 'Harish Uthaman', 'Chandhunadh']",609
882,Ardhangini,2023,135,Drama,4.5,Kaushik Ganguly,"['Kaushik Sen', 'Jaya Ahsan', 'Lily Chakravarty', 'Churni Ganguly']",56
883,Kutch Express,2023,134,Drama,6.6,Viral Shah,"['Ratna Pathak Shah', 'Manasi Parekh', 'Dharmendra Gohil', 'Viraf Patel']",290
884,Jo and Jo,2022,134,Comedy,7.1,Arun D. Jose,"['Nikhila Vimal', 'Mathew Thomas', 'Naslen', 'Melvin']",1973
885,Yaanai,2022,154,Action,7.5,Hari,"['Arun Vijay', 'Priya Bhavani Shankar', 'Samuthirakani', 'Radhika Sarathkumar']",3558
886,Parari,2023,120,Action,9.0,Sai Sivaji,"['Bhupal', 'Shiwani Saini', 'Sayaji Shinde', 'Suman']",2089
887,Hostel,2022,134,Comedy,4.2,Sumanth Radhakrishnan,"['Aishwarya', 'Ajay', 'Lollusabha Anthony', 'Pallavaram Aravin']",223
888,Ramudu Anukoledhu Jaanaki Kalaganaledhu,2023,120,Romance,7.1,Ravikishore Gurazada,"['Anish Valluri', 'Elsa Ghosh', 'Chandramohan', 'Koti']",3368
889,Sarla Ek Koti,2023,122,Drama,7.9,Nitin Supekar,"['Abhilasha Poul', 'Onkar Bhojane', 'Chhaya Kadam', 'Isha Keskar']",110
890,Karotiyin Kadhali,2022,120,Drama,6.6,R Siva,"['R Siva', 'Kumaravel', 'R Siva']",29
891,Good Luck Sakhi,2022,130,Drama,5.5,Nagesh Kukunoor,"['Keerthy Suresh', 'Aadhi', 'Jagapathi Babu', 'Ramaprabha']",1633
892,Sofi,2023,130,Romance,7.7,Joby Vayalaunkal,"['Swathi', 'Dipin', 'Danuja', 'Harisree Martin']",543
893,Focus,2022,119,Action,8.0,G Surya Teja,"['Muskan Arora', 'Raghu Babu', 'Surya Bhagawan', 'Bhanuchander']",2956
